PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-653	chr11	44120002	44120186	+	4.16	0.690	intron (NM_000401, intron 1 of 13)	AluSz6|SINE|Alu	2347	NM_000401	2132	Hs.368404	NM_000401	ENSG00000151348	EXT2	SOTV|SSMS	exostosin glycosyltransferase 2	protein-coding
chr4-586	chr4	9411550	9411734	+	4.16	0.676	Intergenic	LTR12D|LTR|ERV1	-34618	NM_001040448	644414	Hs.590200	NM_001040448	ENSG00000186146	DEFB131A	DEFB-31|DEFB131	defensin beta 131A	protein-coding
chr10-562	chr10	99027460	99027644	+	4.16	0.706	intron (NM_032900, intron 1 of 11)	THE1B-int|LTR|ERVL-MaLR	2862	NM_001256423	84986	Hs.80305	NM_032900	ENSG00000213390	ARHGAP19	-	Rho GTPase activating protein 19	protein-coding
chr3-629	chr3	126834233	126834417	+	4.16	0.759	Intergenic	MLT1K|LTR|ERVL-MaLR	-77649	NM_001007534	285311	Hs.591284	NM_001007534	ENSG00000214324	C3orf56	-	chromosome 3 open reading frame 56	protein-coding
chr17-870	chr17	6955571	6955755	+	4.16	0.774	Intergenic	MLT1N2|LTR|ERVL-MaLR	-8252	NM_001370553	162515	Hs.336564	NM_153357	ENSG00000174326	SLC16A11	MCT 11|MCT11	solute carrier family 16 member 11	protein-coding
chr6-390	chr6	74009277	74009461	+	4.16	0.541	intron (NR_027005, intron 2 of 4)	CpG	10513	NM_001251874	80759	Hs.433062	NM_030568	ENSG00000135314	KHDC1	C6orf147|C6orf148|Em:AC019205.8|KHDC1L|NDG1|bA257K9.4	KH domain containing 1	protein-coding
chr16-1052	chr16	11217552	11217736	+	4.16	0.690	exon (NM_015226, exon 20 of 23)	exon (NM_015226, exon 20 of 23)	132395	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr6-540	chr6	13850153	13850337	+	4.16	0.677	Intergenic	MER89|LTR|ERV1	-35453	NM_001031713	63933	Hs.214043	NM_022102	ENSG00000050393	MCUR1	C6orf79|CCDC90A|FMP32	mitochondrial calcium uniporter regulator 1	protein-coding
chr11-775	chr11	118234456	118234640	+	4.16	0.690	intron (NM_004788, intron 1 of 19)	AluSx1|SINE|Alu	4233	NM_004788	9354	Hs.75275	NM_004788	ENSG00000110344	UBE4A	E4|UBOX2|UFD2	ubiquitination factor E4A	protein-coding
chr13-307	chr13	21678393	21678577	+	4.16	0.618	Intergenic	CpG	-36168	NM_005870	10284	Hs.524899	NM_005870	ENSG00000150459	SAP18	2HOR0202|SAP18P	Sin3A associated protein 18	protein-coding
chr15-361	chr15	78267566	78267750	+	4.16	0.615	Intergenic	Intergenic	18909	NR_026998	91450	Hs.406766	NR_026998		LOC91450	-	uncharacterized LOC91450	ncRNA
chr6-366	chr6	3123203	3123387	+	4.16	0.667	intron (NR_026648, intron 2 of 8)	intron (NR_026648, intron 2 of 8)	4350	NM_004332	670	Hs.10136	NM_004332	ENSG00000137274	BPHL	BPH-RP|MCNAA|VACVASE	biphenyl hydrolase like	protein-coding
chr18-213	chr18	5494110	5494294	+	4.16	0.750	intron (NM_001281534, intron 1 of 19)	L2|LINE|L2	46353	NM_001281533	23136	Hs.213394	NM_012307	ENSG00000082397	EPB41L3	4.1B|DAL-1|DAL1	erythrocyte membrane protein band 4.1 like 3	protein-coding
chr9-518	chr9	68454935	68455119	+	4.16	0.656	non-coding (NR_033907, exon 1 of 9)	non-coding (NR_033907, exon 1 of 9)	341	NR_033907	642236	Hs.650100	NR_033907		FRG1JP	-	FSHD region gene 1 family member J, pseudogene	pseudo
chr11-831	chr11	60859301	60859485	+	4.16	0.618	Intergenic	Intergenic	-2042	NM_001346456	921	Hs.58685	NM_014207	ENSG00000110448	CD5	LEU1|T1	CD5 molecule	protein-coding
chr3-299	chr3	94991690	94991874	+	4.16	0.839	Intergenic	Intergenic	334675	NR_015400	255025	Hs.130994	NR_015400	ENSG00000239589	LINC00879	-	long intergenic non-protein coding RNA 879	ncRNA
chr16-731	chr16	15234805	15234989	+	4.16	0.676	Intergenic	Intergenic	-4081	NR_123721	105369154	Hs.634612	NR_123721	ENSG00000270580	PKD1P6-NPIPP1	-	PKD1P6-NPIPP1 readthrough	pseudo
chr9-535	chr9	112039881	112040065	+	4.16	0.778	intron (NM_019114, intron 2 of 25)	intron (NM_019114, intron 2 of 25)	43271	NM_018424	54566	Hs.591901	NM_018424	ENSG00000095203	EPB41L4B	CG1|EHM2	erythrocyte membrane protein band 4.1 like 4B	protein-coding
chr6-477	chr6	2797619	2797803	+	4.16	0.590	Intergenic	Intergenic	-27101	NM_001347872	340156	Hs.127830	NM_001012418	ENSG00000145949	MYLK4	SgK085	myosin light chain kinase family member 4	protein-coding
chr1-761	chr1	179198242	179198426	+	4.16	0.596	intron (NM_001168237, intron 1 of 12)	CpG	478	NM_007314	27	Hs.159472	NM_005158	ENSG00000143322	ABL2	ABLL|ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein-coding
chr7-452	chr7	70255136	70255320	+	4.16	0.730	exon (NM_001127231, exon 18 of 18)	exon (NM_001127231, exon 18 of 18)	-341902	NM_022479	64409	Hs.488591	NM_022479	ENSG00000185274	GALNT17	GALNACT17|GALNT16|GALNT20|GALNTL3|GalNAc-T17|GalNAc-T19|GalNAc-T5L|WBSCR17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding
chr17-1111	chr17	8629327	8629511	+	4.16	0.645	Intergenic	Intergenic	18735	NM_144681	146849	Hs.121438	NM_144681	ENSG00000161973	CCDC42	CCDC42A	coiled-coil domain containing 42	protein-coding
chr6-321	chr6	169765262	169765446	+	4.16	0.667	Intergenic	Intergenic	-111145	NM_003247	7058	Hs.371147	NM_003247	ENSG00000186340	THBS2	TSP2	thrombospondin 2	protein-coding
chr17-922	chr17	9474966	9475150	+	4.16	0.561	intron (NM_004853, intron 1 of 7)	AluSx1|SINE|Alu	4079	NM_004853	9482	Hs.431109	NM_004853	ENSG00000170310	STX8	CARB	syntaxin 8	protein-coding
chr8-325	chr8	112655048	112655232	+	4.16	0.711	Intergenic	LTR12C|LTR|ERV1	266272	NR_146282	105375706	Hs.566832	NR_146282	ENSG00000253434	LINC02237	-	long intergenic non-protein coding RNA 2237	ncRNA
chr15-303	chr15	41626367	41626551	+	4.16	0.697	intron (NM_001243144, intron 1 of 8)	AluSg|SINE|Alu	1380	NM_001243142	51203	Hs.615092	NM_016359	ENSG00000137804	NUSAP1	ANKT|BM037|LNP|NUSAP|PRO0310p1|Q0310|SAPL	nucleolar and spindle associated protein 1	protein-coding
chr3-452	chr3	39544181	39544365	+	4.16	0.656	exon (NM_001278323, exon 2 of 2)	exon (NM_001278323, exon 2 of 2)	716	NM_001278323	4336	Hs.121333	NM_182935	ENSG00000168314	MOBP	-	myelin associated oligodendrocyte basic protein	protein-coding
chr22-567	chr22	23664035	23664219	+	4.16	0.645	Intergenic	AluY|SINE|Alu	-4676	NR_149133	102724679	Hs.517462	NR_149133	ENSG00000236611	LINC02556	-	long intergenic non-protein coding RNA 2556	ncRNA
chr8-368	chr8	116049169	116049353	+	4.16	0.512	Intergenic	LTR12C|LTR|ERV1	630979	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
chr3-354	chr3	28944706	28944890	+	4.16	0.553	Intergenic	LTR12C|LTR|ERV1	328029	NR_038840	645206	Hs.376725	NR_038840		LINC00693	-	long intergenic non-protein coding RNA 693	ncRNA
chr3-398	chr3	46338473	46338657	+	4.16	0.758	Intergenic	MLT1J|LTR|ERVL-MaLR	54614	NM_001164680	1232	Hs.506190	NM_001837	ENSG00000183625	CCR3	CC-CKR-3|CD193|CKR3|CMKBR3	C-C motif chemokine receptor 3	protein-coding
chr2-1192	chr2	132560133	132560317	+	4.16	0.704	promoter-TSS (NR_161366)	promoter-TSS (NR_161366)	-991	NR_161366	408029	Hs.145567	NR_161366		C2orf27B	-	chromosome 2 open reading frame 27B	ncRNA
chr19-1107	chr19	33569055	33569239	+	4.16	0.733	Intergenic	LTR24|LTR|ERV1	-2639	NR_135270	55094	Hs.466436	NM_018025	ENSG00000076650	GPATCH1	ECGP|GPATC1	G-patch domain containing 1	protein-coding
chr10-714	chr10	52499265	52499449	+	4.16	0.600	promoter-TSS (NR_135904)	promoter-TSS (NR_135904)	-91	NR_135904	653308	Hs.659820	NM_001079516	ENSG00000204147	ASAH2B	ASAH2C|ASAH2L|bA449O16.3|bA98I6.3	N-acylsphingosine amidohydrolase 2B	protein-coding
chr5-425	chr5	124349933	124350117	+	4.16	0.774	Intergenic	Intergenic	-22499	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
chr15-242	chr15	27076500	27076684	+	4.16	0.703	Intergenic	LTR12C|LTR|ERV1	-35617	NM_000810	2558	Hs.24969	NM_000810	ENSG00000186297	GABRA5	-	gamma-aminobutyric acid type A receptor alpha5 subunit	protein-coding
chr8-473	chr8	11187602	11187786	+	4.16	0.575	promoter-TSS (NM_054028)	promoter-TSS (NM_054028)	-801	NM_054028	83650	Hs.458397	NM_054028	ENSG00000177710	SLC35G5	AMAC|AMAC1L2	solute carrier family 35 member G5	protein-coding
chr9-608	chr9	104499995	104500179	+	4.16	0.649	exon (NM_133445, exon 1 of 9)	exon (NM_133445, exon 1 of 9)	775	NM_133445	116443	Hs.654783	NM_133445	ENSG00000198785	GRIN3A	GluN3A|NMDAR-L|NR3A	glutamate ionotropic receptor NMDA type subunit 3A	protein-coding
chr15-346	chr15	63703439	63703623	+	4.16	0.649	intron (NR_120375, intron 4 of 6)	intron (NR_120375, intron 4 of 6)	21102	NR_120375	102723344	Hs.569500	NR_120375		LINC02568	-	long intergenic non-protein coding RNA 2568	ncRNA
chr5-613	chr5	154070135	154070319	+	4.16	0.611	intron (NM_001367713, intron 1 of 18)	intron (NM_001367713, intron 1 of 18)	4891	NR_031638	100302284		NR_031638	ENSG00000221552	MIR1303	MIRN1303|hsa-mir-1303	microRNA 1303	ncRNA
chr14-419	chr14	97461311	97461495	+	4.16	0.688	Intergenic	L2c|LINE|L2	51487	NR_104113	145249	Hs.592323	NR_104113	ENSG00000225163	LINC00618	C14orf63	long intergenic non-protein coding RNA 618	ncRNA
chr2-682	chr2	48916924	48917108	+	4.16	0.686	intron (NM_000233, intron 10 of 10)	AluSc8|SINE|Alu	65847	NM_000233	3973	Hs.468490	NM_000233	ENSG00000138039	LHCGR	HHG|LCGR|LGR2|LH/CG-R|LH/CGR|LHR|LHRHR|LSH-R|ULG5	luteinizing hormone/choriogonadotropin receptor	protein-coding
chr16-944	chr16	56651412	56651596	+	4.16	0.605	intron (NR_001447, intron 1 of 2)	intron (NR_001447, intron 1 of 2)	131	NR_001447	4500	Hs.647358	NR_001447	ENSG00000260549	MT1L	MT1|MT1R|MTF	metallothionein 1L, pseudogene	pseudo
chr2-769	chr2	198558057	198558241	+	4.16	0.611	Intergenic	L1PA2|LINE|L1	-11944	NM_138395	92935	Hs.744330	NM_138395	ENSG00000247626	MARS2	COXPD25|MetRS|mtMetRS	methionyl-tRNA synthetase 2, mitochondrial	protein-coding
chr5-597	chr5	42924187	42924371	+	4.16	0.697	Intergenic	CpG	69156	NR_104643	643977	Hs.535791	NR_104643		FLJ32255	-	uncharacterized LOC643977	ncRNA
chr11-858	chr11	118662835	118663019	+	4.16	0.571	Intergenic	CpG-4811	-1054	NM_004397	1656	Hs.408461	NM_004397	ENSG00000110367	DDX6	HLR2|P54|RCK	DEAD-box helicase 6	protein-coding
chr10-616	chr10	88790864	88791048	+	4.16	0.575	Intergenic	LTR12C|LTR|ERV1	10905	NM_001146157	643161	Hs.729945	NM_001146157	ENSG00000188100	FAM25A	bA96C23.5	family with sequence similarity 25 member A	protein-coding
chr3-353	chr3	57583191	57583375	+	4.16	0.806	promoter-TSS (NR_132369)	promoter-TSS (NR_132369)	-212	NM_001660	378	Hs.652183	NM_001660	ENSG00000168374	ARF4	ARF2	ADP ribosylation factor 4	protein-coding
chr6-334	chr6	119816597	119816781	+	4.16	0.730	Intergenic	Intergenic	-4222	NR_046100	285762	Hs.571063	NR_046100		LOC285762	-	uncharacterized LOC285762	ncRNA
chr14-364	chr14	29293803	29293987	+	4.16	0.793	Intergenic	AluSc5|SINE|Alu	-38902	NR_135255	105370424	Hs.375809	NR_135255	ENSG00000257056	LINC02282	-	long intergenic non-protein coding RNA 2282	ncRNA
chr5-480	chr5	74907382	74907566	+	4.16	0.694	exon (NM_001276713, exon 1 of 14)	exon (NM_001276713, exon 1 of 14)	173	NM_001276713	728780	Hs.370455	NM_001271529	ENSG00000189045	ANKDD1B	-	ankyrin repeat and death domain containing 1B	protein-coding
chr20-492	chr20	4582398	4582582	+	4.16	0.714	Intergenic	Intergenic	-84612	NM_000311	5621	Hs.472010	NM_000311	ENSG00000171867	PRNP	ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30	prion protein	protein-coding
chr6-301	chr6	53212953	53213137	+	4.16	0.625	intron (NM_021814, intron 1 of 7)	CpG	703	NM_001301856	60481	Hs.520189	NM_021814	ENSG00000012660	ELOVL5	HELO1|SCA38|dJ483K16.1	ELOVL fatty acid elongase 5	protein-coding
chr18-292	chr18	77748731	77748915	+	4.16	0.694	promoter-TSS (NR_131177)	promoter-TSS (NR_131177)	-260	NM_006701	10907	Hs.465498	NM_006701	ENSG00000141759	TXNL4A	BMKS|DIB1|DIM1|SNRNP15|TXNL4|U5-15kD	thioredoxin like 4A	protein-coding
chr15-420	chr15	28051646	28051830	+	4.16	0.767	intron (NM_001300984, intron 22 of 22)	CpG	292723	NM_000275	4948	Hs.654411	NM_000275	ENSG00000104044	OCA2	BEY|BEY1|BEY2|BOCA|D15S12|EYCL|EYCL2|EYCL3|HCL3|P|PED|SHEP1	OCA2 melanosomal transmembrane protein	protein-coding
chr13-214	chr13	27405770	27405954	+	4.16	0.629	Intergenic	Intergenic	-70939	NM_005288	2835	Hs.123034	NM_005288	ENSG00000132975	GPR12	GPCR12|GPCR21|PPP1R84	G protein-coupled receptor 12	protein-coding
chr3-305	chr3	141420437	141420621	+	4.16	0.658	intron (NR_136190, intron 6 of 7)	HERVFH21-int|LTR|ERV1	-36522	NR_037702	9616	Hs.134623	NM_014245	ENSG00000114125	RNF7	CKBBP1|ROC2|SAG|rbx2	ring finger protein 7	protein-coding
chr4-620	chr4	41215951	41216135	+	4.16	0.710	intron (NM_173075, intron 1 of 16)	CpG	516	NM_173075	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
chr8-726	chr8	113095387	113095571	+	4.16	0.656	Intergenic	LTR12C|LTR|ERV1	-560243	NR_031745	100302225		NR_031745	ENSG00000238399	MIR2053	hsa-mir-2053	microRNA 2053	ncRNA
chr14-492	chr14	77965446	77965630	+	4.16	0.676	promoter-TSS (NM_182509)	promoter-TSS (NM_182509)	-379	NM_182509	145501	Hs.29742	NM_182509	ENSG00000100593	ISM2	TAIL1|THSD3	isthmin 2	protein-coding
chr15-257	chr15	90643161	90643345	+	4.16	0.800	intron (NM_002168, intron 1 of 10)	intron (NM_002168, intron 1 of 10)	600	NM_001289910	3418	Hs.596461	NM_002168	ENSG00000182054	IDH2	D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	protein-coding
chr19-1339	chr19	15893273	15893457	+	4.16	0.710	Intergenic	Intergenic	-2567	NR_033864	388514	Hs.438274	NR_033864		CYP4F24P	-	cytochrome P450 family 4 subfamily F member 24, pseudogene	pseudo
chr7-534	chr7	51696970	51697154	+	4.16	0.686	Intergenic	Intergenic	-236109	NR_157843	107986794		NR_157843		LOC107986794	-	uncharacterized LOC107986794	ncRNA
chr10-761	chr10	112439497	112439681	+	4.16	0.675	intron (NM_001134363, intron 1 of 13)	intron (NM_001134363, intron 1 of 13)	35495	NM_001134363	282996	Hs.116630	NM_001134363	ENSG00000203867	RBM20	-	RNA binding motif protein 20	protein-coding
chr16-590	chr16	48725336	48725520	+	4.16	0.686	Intergenic	Intergenic	-81337	NM_153029	9683	Hs.511839	NM_153029	ENSG00000102921	N4BP1	-	NEDD4 binding protein 1	protein-coding
chr2-1028	chr2	54198347	54198531	+	4.16	0.618	promoter-TSS (NM_014614)	promoter-TSS (NM_014614)	189	NM_001320586	98	Hs.516173	NM_138448	ENSG00000170634	ACYP2	ACYM|ACYP	acylphosphatase 2	protein-coding
chr6-386	chr6	134756327	134756511	+	4.16	0.821	intron (NR_125852, intron 4 of 4)	AluSx1|SINE|Alu	-2435	NR_038216	154092	Hs.223718	NR_038216		LINC01010	-	long intergenic non-protein coding RNA 1010	ncRNA
chr4-612	chr4	115581901	115582085	+	4.16	0.839	intron (NM_001322114, intron 2 of 5)	AluY|SINE|Alu	4078	NR_030303	693162		NR_030303	ENSG00000207931	MIR577	MIRN577|hsa-mir-577|mir-577	microRNA 577	ncRNA
chr6-325	chr6	99755411	99755595	+	4.16	0.697	intron (NR_144463, intron 4 of 5)	intron (NR_144463, intron 4 of 5)	42047	NM_032511	84553	Hs.573245	NM_032511	ENSG00000146267	FAXC	C6orf168|dJ273F20	failed axon connections homolog, metaxin like GST domain containing	protein-coding
chr5-397	chr5	175000975	175001159	+	4.16	0.658	Intergenic	Intergenic	-84007	NR_160284	3274	Hs.247885	NM_022304	ENSG00000113749	HRH2	H2R|HH2R	histamine receptor H2	protein-coding
chr16-486	chr16	24605755	24605939	+	4.16	0.697	Intergenic	AluSx1|SINE|Alu	-15679	NM_001351850	27327	Hs.655057	NM_014494	ENSG00000090905	TNRC6A	CAGH26|FAME6|GW1|GW182|TNRC6	trinucleotide repeat containing adaptor 6A	protein-coding
chr3-455	chr3	131092771	131092955	+	4.16	0.727	intron (NR_038976, intron 2 of 3)	AluSc8|SINE|Alu	7456	NR_038976	339874	Hs.718930	NR_038976	ENSG00000250608	LOC339874	-	uncharacterized LOC339874	ncRNA
chr1-985	chr1	200734418	200734602	+	4.16	0.765	intron (NM_203459, intron 2 of 16)	AluSg|SINE|Alu	25810	NM_203459	23271	Hs.23585	NM_203459	ENSG00000118200	CAMSAP2	CAMSAP1L1	calmodulin regulated spectrin associated protein family member 2	protein-coding
chr3-556	chr3	155941926	155942110	+	4.16	0.585	intron (NR_046617, intron 1 of 3)	LTR12C|LTR|ERV1	3654	NR_046617	100874083	Hs.603823	NR_046617	ENSG00000240596	KCNAB1-AS2	-	KCNAB1 antisense RNA 2	ncRNA
chr1-1626	chr1	42701354	42701538	+	4.16	0.645	intron (NM_001198850, intron 4 of 12)	AluSx1|SINE|Alu	-71030	NM_033553	2980	Hs.778	NM_033553	ENSG00000197273	GUCA2A	GCAP-I|GUCA2|STARA	guanylate cyclase activator 2A	protein-coding
chr18-165	chr18	76724881	76725065	+	4.16	0.657	Intergenic	CpG	-15302	NM_171999	27164	Hs.700557	NM_171999	ENSG00000256463	SALL3	ZNF796	spalt like transcription factor 3	protein-coding
chr14-470	chr14	52536060	52536244	+	4.16	0.639	promoter-TSS (NM_007361)	promoter-TSS (NM_007361)	-375	NM_007361	22795	Hs.369840	NM_007361	ENSG00000087303	NID2	NID-2	nidogen 2	protein-coding
chr3-388	chr3	66618051	66618235	+	4.16	0.606	Intergenic	AluY|SINE|Alu	-67298	NM_015541	26018	Hs.518055	NM_015541	ENSG00000144749	LRIG1	LIG-1|LIG1	leucine rich repeats and immunoglobulin like domains 1	protein-coding
chr7-654	chr7	139891641	139891825	+	4.16	0.677	Intergenic	AluJb|SINE|Alu	14672	NR_024451	100134229	Hs.634333	NR_024451	ENSG00000260231	KDM7A-DT	JHDM1D-AS1	KDM7A divergent transcript	ncRNA
chr16-701	chr16	9332253	9332437	+	4.16	0.675	Intergenic	Intergenic	-117100	NR_135195	101927009	Hs.537273	NR_135195	ENSG00000261617	LINC02177	-	long intergenic non-protein coding RNA 2177	ncRNA
chr4-705	chr4	162822805	162822989	+	4.16	0.700	intron (NM_001128428, intron 4 of 14)	AluSx3|SINE|Alu	-120988	NR_125888	101928052	Hs.647993	NR_125888	ENSG00000249419	LOC101928052	-	uncharacterized LOC101928052	ncRNA
chr10-866	chr10	57040046	57040230	+	4.16	0.636	intron (NM_001354404, intron 2 of 34)	AluSx1|SINE|Alu	-318664	NM_001190478	100463289		NM_001190478	ENSG00000249860	MTRNR2L5	HN5	MT-RNR2 like 5	protein-coding
chr2-896	chr2	132233566	132233750	+	4.16	0.758	promoter-TSS (NM_080386)	promoter-TSS (NM_080386)	-34	NM_080386	113457	Hs.503749	NM_080386	ENSG00000075886	TUBA3D	H2-ALPHA|KTCN9|TUBA2	tubulin alpha 3d	protein-coding
chr7-697	chr7	45933938	45934122	+	4.16	0.543	TTS (NM_000596)	TTS (NM_000596)	5943	NM_000596	3484	Hs.642938	NM_000596	ENSG00000146678	IGFBP1	AFBP|IBP1|IGF-BP25|PP12|hIGFBP-1	insulin like growth factor binding protein 1	protein-coding
chr2-1124	chr2	121382683	121382867	+	4.16	0.677	Intergenic	Intergenic	-110669	NM_001371271								
chr8-527	chr8	141034702	141034886	+	4.16	0.758	intron (NM_001160372, intron 17 of 22)	intron (NM_001160372, intron 17 of 22)	75840	NR_144431	359809	Hs.26814	NR_144431	ENSG00000282164	PEG13	-	paternally expressed 13	ncRNA
chr8-679	chr8	78042918	78043102	+	4.16	0.875	Intergenic	Intergenic	-129730	NM_001172086	5828	Hs.437966	NM_000318	ENSG00000164751	PEX2	PAF1|PBD5A|PBD5B|PMP3|PMP35|PXMP3|RNF72|ZWS3	peroxisomal biogenesis factor 2	protein-coding
chr7-533	chr7	158946251	158946435	+	4.16	0.742	Intergenic	Tigger2|DNA|TcMar-Tigger	-8694	NR_130758	7434	Hs.585052	NM_003382	ENSG00000106018	VIPR2	C16DUPq36.3|DUP7q36.3|PACAP-R-3|PACAP-R3|VIP-R-2|VPAC2|VPAC2R|VPCAP2R	vasoactive intestinal peptide receptor 2	protein-coding
chr19-1297	chr19	22398170	22398354	+	4.16	0.639	Intergenic	Intergenic	-18509	NM_001001411	163223	Hs.55452	NM_001001411	ENSG00000196109	ZNF676	-	zinc finger protein 676	protein-coding
chr2-567	chr2	961568	961752	+	4.16	0.800	intron (NM_018968, intron 1 of 16)	intron (NM_018968, intron 1 of 16)	-14582	NR_136151	101060391	Hs.120377	NR_136151		SNTG2-AS1	-	SNTG2 antisense RNA 1	ncRNA
chr2-970	chr2	143091936	143092120	+	4.16	0.688	Intergenic	MSTB-int|LTR|ERVL-MaLR	-202758	NM_018557	53353	Hs.656461	NM_018557	ENSG00000168702	LRP1B	LRP-1B|LRP-DIT|LRPDIT	LDL receptor related protein 1B	protein-coding
chr5-426	chr5	169854551	169854735	+	4.16	0.658	intron (NM_001034838, intron 1 of 7)	intron (NM_001034838, intron 1 of 7)	38146	NR_109899	101928033	Hs.709167	NR_109899	ENSG00000253647	CTD-2270F17.1	-	uncharacterized LOC101928033	ncRNA
chr16-634	chr16	20873638	20873822	+	4.16	0.765	exon (NM_173475, exon 2 of 3)	exon (NM_173475, exon 2 of 3)	-37474	NM_001369631	57149	Hs.745012	NM_020424	ENSG00000102897	LYRM1	A211C6.1	LYR motif containing 1	protein-coding
chr2-1084	chr2	39480301	39480485	+	4.16	0.750	intron (NM_001270425, intron 31 of 32)	AluSc|SINE|Alu	-9269	NR_144521	344387	Hs.403201	NM_001009565	ENSG00000205111	CDKL4	-	cyclin dependent kinase like 4	protein-coding
chr13-310	chr13	41681678	41681862	+	4.16	0.647	Intergenic	MER52C|LTR|ERV1	-6534	NR_036127	100422878		NR_036127	ENSG00000264226	MIR3168	-	microRNA 3168	ncRNA
chr3-595	chr3	189179492	189179676	+	4.16	0.676	Intergenic	L1MA8|LINE|L1	-134951	NM_001329964	8626	Hs.137569	NM_003722	ENSG00000073282	TP63	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	tumor protein p63	protein-coding
chr13-181	chr13	99204657	99204841	+	4.16	0.757	intron (NM_001032296, intron 1 of 10)	intron (NM_001032296, intron 1 of 10)	24656	NM_001286649	8428	Hs.508514	NM_003576	ENSG00000102572	STK24	HEL-S-95|MST3|MST3B|STE20|STK3	serine/threonine kinase 24	protein-coding
chr4-831	chr4	77802732	77802916	+	4.16	0.774	Intergenic	Intergenic	16473	NM_001029870	345079	Hs.257292	NM_001029870	ENSG00000186212	SOWAHB	ANKRD56	sosondowah ankyrin repeat domain family member B	protein-coding
chr11-558	chr11	23426654	23426838	+	4.16	0.758	Intergenic	Intergenic	13990	NR_107021	102465860		NR_107021	ENSG00000275868	MIR8054	hsa-mir-8054	microRNA 8054	ncRNA
chr10-722	chr10	126372276	126372460	+	4.16	0.719	intron (NM_014661, intron 3 of 4)	intron (NM_014661, intron 3 of 4)	-20229	NR_120631	101927944	Hs.437448	NR_120630		FAM53B-AS1	-	FAM53B antisense RNA 1	ncRNA
chr3-298	chr3	36806139	36806323	+	4.16	0.600	Intergenic	Intergenic	-24879	NM_033403	85443	Hs.631907	NM_033403	ENSG00000163673	DCLK3	CLR|DCAMKL3|DCDC3C|DCK3	doublecortin like kinase 3	protein-coding
chr1-1594	chr1	241905439	241905623	+	4.16	0.625	intron (NM_001367482, intron 12 of 27)	MIRb|SINE|MIR	89948	NM_001367482	128025	Hs.97527	NM_144625	ENSG00000162843	WDR64	-	WD repeat domain 64	protein-coding
chr15-480	chr15	44701389	44701573	+	4.16	0.512	intron (NM_138423, intron 9 of 9)	AluY|SINE|Alu	-18346	NM_016396	51496	Hs.497967	NM_016396	ENSG00000137770	CTDSPL2	HSPC058|HSPC129	CTD small phosphatase like 2	protein-coding
